Iteration,GetTicks,thread_id,#Request,Processing Time,Total #Request,Total Request Processing Time,#Update,Update Time,Total #Update,Total Update Time,Player Number,
0,3731382642,1,0,0,0,0,0,0,0,0,0,
1,3731382693,1,0,0,0,0,0,0,0,0,0,
2,3731382743,1,0,0,0,0,0,0,0,0,0,
3,3731382793,1,0,0,0,0,0,0,0,0,0,
4,3731382844,1,0,0,0,0,0,0,0,0,0,
5,3731382895,1,0,0,0,0,0,0,0,0,0,
6,3731382945,1,0,0,0,0,0,0,0,0,0,
7,3731382996,1,0,0,0,0,0,0,0,0,0,
8,3731383046,1,0,0,0,0,0,0,0,0,0,
9,3731383097,1,0,0,0,0,0,0,0,0,0,
10,3731383148,1,0,0,0,0,0,0,0,0,0,
11,3731383198,1,0,0,0,0,0,0,0,0,0,
12,3731383249,1,0,0,0,0,0,0,0,0,0,
13,3731383299,1,0,0,0,0,0,0,0,0,0,
14,3731383350,1,0,0,0,0,0,0,0,0,0,
15,3731383400,1,0,0,0,0,0,0,0,0,0,
16,3731383451,1,0,0,0,0,0,0,0,0,0,
17,3731383501,1,0,0,0,0,0,0,0,0,0,
18,3731383552,1,0,0,0,0,0,0,0,0,0,
19,3731383603,1,0,0,0,0,0,0,0,0,0,
20,3731383653,1,0,0,0,0,0,0,0,0,0,
21,3731383704,1,0,0,0,0,0,0,0,0,0,
22,3731383754,1,0,0,0,0,0,0,0,0,0,
23,3731383805,1,0,0,0,0,0,0,0,0,0,
24,3731383856,1,0,0,0,0,0,0,0,0,0,
25,3731383906,1,0,0,0,0,0,0,0,0,0,
26,3731383957,1,0,0,0,0,0,0,0,0,0,
27,3731384008,1,0,0,0,0,0,0,0,0,0,
28,3731384058,1,0,0,0,0,0,0,0,0,0,
29,3731384109,1,0,0,0,0,0,0,0,0,0,
30,3731384159,1,0,0,0,0,0,0,0,0,0,
31,3731384210,1,0,0,0,0,0,0,0,0,0,
32,3731384260,1,0,0,0,0,0,0,0,0,0,
33,3731384311,1,0,0,0,0,0,0,0,0,0,
34,3731384362,1,0,0,0,0,0,0,0,0,0,
35,3731384412,1,0,0,0,0,0,0,0,0,0,
36,3731384462,1,0,0,0,0,0,0,0,0,0,
37,3731384513,1,0,0,0,0,0,0,0,0,0,
38,3731384564,1,0,0,0,0,0,0,0,0,0,
39,3731384614,1,0,0,0,0,0,0,0,0,0,
40,3731384665,1,0,0,0,0,0,0,0,0,0,
41,3731384715,1,0,0,0,0,0,0,0,0,0,
42,3731384766,1,0,0,0,0,0,0,0,0,0,
43,3731384816,1,0,0,0,0,0,0,0,0,0,
44,3731384867,1,0,0,0,0,0,0,0,0,0,
45,3731384917,1,0,0,0,0,0,0,0,0,0,
46,3731384968,1,0,0,0,0,0,0,0,0,0,
47,3731385018,1,0,0,0,0,0,0,0,0,0,
48,3731385069,1,0,0,0,0,0,0,0,0,0,
49,3731385120,1,0,0,0,0,0,0,0,0,0,
50,3731385170,1,0,0,0,0,0,0,0,0,0,
51,3731385221,1,0,0,0,0,0,0,0,0,0,
52,3731385271,1,0,0,0,0,0,0,0,0,0,
53,3731385322,1,0,0,0,0,0,0,0,0,0,
54,3731385372,1,0,0,0,0,0,0,0,0,0,
55,3731385423,1,0,0,0,0,0,0,0,0,0,
56,3731385474,1,0,0,0,0,0,0,0,0,0,
57,3731385524,1,0,0,0,0,0,0,0,0,0,
58,3731385575,1,0,0,0,0,0,0,0,0,0,
59,3731385625,1,0,0,0,0,0,0,0,0,0,
60,3731385676,1,0,0,0,0,0,0,0,0,0,
61,3731385727,1,0,0,0,0,0,0,0,0,0,
62,3731385777,1,0,0,0,0,0,0,0,0,0,
63,3731385827,1,0,0,0,0,0,0,0,0,0,
64,3731385878,1,0,0,0,0,0,0,0,0,0,
65,3731385929,1,0,0,0,0,0,0,0,0,0,
66,3731385979,1,0,0,0,0,0,0,0,0,0,
67,3731386030,1,0,0,0,0,0,0,0,0,0,
68,3731386080,1,0,0,0,0,0,0,0,0,0,
69,3731386131,1,0,0,0,0,0,0,0,0,0,
70,3731386181,1,0,0,0,0,0,0,0,0,0,
71,3731386232,1,0,0,0,0,0,0,0,0,0,
72,3731386283,1,0,0,0,0,0,0,0,0,0,
73,3731386333,1,0,0,0,0,0,0,0,0,0,
74,3731386383,1,0,0,0,0,0,0,0,0,0,
75,3731386434,1,0,0,0,0,0,0,0,0,0,
76,3731386485,1,0,0,0,0,0,0,0,0,0,
77,3731386535,1,0,0,0,0,0,0,0,0,0,
78,3731386586,1,0,0,0,0,0,0,0,0,0,
79,3731386636,1,0,0,0,0,0,0,0,0,0,
80,3731386710,1,0,0,0,0,0,0,0,0,0,
81,3731386760,1,0,0,0,0,0,0,0,0,0,
82,3731386817,1,0,0,0,0,1,0,1,0,1,
83,3731386896,1,0,0,0,0,43,1,44,1,43,
84,3731386956,1,0,0,0,0,89,1,133,2,89,
85,3731387013,1,0,0,0,0,112,2,245,4,112,
86,3731387067,1,37,1,37,1,115,1,360,5,115,
87,3731387125,1,22,0,59,1,134,2,494,7,134,
88,3731387184,1,44,0,103,1,187,2,681,9,187,
89,3731387268,1,28,2,131,3,243,2,924,11,243,
90,3731387323,1,60,0,191,3,244,4,1168,15,244,
91,3731387378,1,96,2,287,5,245,3,1413,18,245,
92,3731387434,1,78,0,365,5,247,5,1660,23,247,
93,3731387490,1,41,0,406,5,247,6,1907,29,247,
94,3731387546,1,79,1,485,6,246,5,2153,34,246,
95,3731387602,1,96,0,581,6,245,5,2398,39,245,
96,3731387658,1,50,0,631,6,246,5,2644,44,246,
97,3731387713,1,37,0,668,6,246,5,2890,49,246,
98,3731387768,1,90,1,758,7,246,5,3136,54,246,
99,3731387824,1,74,0,832,7,246,6,3382,60,246,
100,3731387879,1,47,1,879,8,246,4,3628,64,246,
101,3731387935,1,69,0,948,8,246,4,3874,68,246,
102,3731387990,1,82,0,1030,8,246,5,4120,73,246,
103,3731388045,1,55,0,1085,8,246,4,4366,77,246,
104,3731388101,1,41,0,1126,8,246,5,4612,82,246,
105,3731388157,1,73,0,1199,8,245,4,4857,86,245,
106,3731388213,1,94,0,1293,8,243,5,5100,91,243,
107,3731388268,1,48,0,1341,8,243,5,5343,96,243,
108,3731388324,1,38,0,1379,8,243,4,5586,100,243,
109,3731388379,1,90,0,1469,8,243,5,5829,105,243,
110,3731388434,1,75,0,1544,8,243,5,6072,110,243,
111,3731388488,1,40,0,1584,8,242,4,6314,114,242,
112,3731388543,1,71,0,1655,8,243,4,6557,118,243,
113,3731388598,1,86,0,1741,8,243,4,6800,122,243,
114,3731388654,1,48,0,1789,8,242,4,7042,126,242,
115,3731388709,1,34,0,1823,8,242,4,7284,130,242,
116,3731388764,1,84,0,1907,8,241,5,7525,135,241,
117,3731388819,1,72,0,1979,8,240,4,7765,139,240,
118,3731388874,1,43,1,2022,9,240,4,8005,143,240,
119,3731388929,1,45,0,2067,9,240,5,8245,148,240,
120,3731388986,1,85,0,2152,9,240,3,8485,151,240,
121,3731389043,1,70,0,2222,9,240,4,8725,155,240,
122,3731389098,1,40,0,2262,9,240,5,8965,160,240,
123,3731389154,1,74,0,2336,9,241,5,9206,165,241,
124,3731389209,1,88,1,2424,10,241,4,9447,169,241,
125,3731389264,1,42,0,2466,10,241,4,9688,173,241,
126,3731389319,1,38,0,2504,10,241,4,9929,177,241,
127,3731389374,1,89,0,2593,10,242,5,10171,182,242,
128,3731389431,1,77,0,2670,10,241,4,10412,186,241,
129,3731389486,1,42,0,2712,10,241,4,10653,190,241,
130,3731389541,1,75,1,2787,11,241,4,10894,194,241,
131,3731389596,1,84,0,2871,11,240,4,11134,198,240,
132,3731389651,1,56,0,2927,11,240,4,11374,202,240,
133,3731389707,1,31,1,2958,12,240,4,11614,206,240,
134,3731389762,1,91,1,3049,13,239,4,11853,210,239,
135,3731389817,1,69,1,3118,14,238,5,12091,215,238,
136,3731389871,1,43,0,3161,14,238,4,12329,219,238,
137,3731389926,1,42,0,3203,14,238,4,12567,223,238,
138,3731389982,1,88,1,3291,15,239,6,12806,229,239,
139,3731390038,1,70,1,3361,16,239,5,13045,234,239,
