Iteration,GetTicks,thread_id,#Request,Processing Time,Total #Request,Total Request Processing Time,#Update,Update Time,Total #Update,Total Update Time,Player Number,
0,3732452383,3,0,0,0,0,0,0,0,0,0,
1,3732452433,3,0,0,0,0,0,0,0,0,0,
2,3732452483,3,0,0,0,0,0,0,0,0,0,
3,3732452534,3,0,0,0,0,0,0,0,0,0,
4,3732452584,3,0,0,0,0,0,0,0,0,0,
5,3732452635,3,0,0,0,0,0,0,0,0,0,
6,3732452685,3,0,0,0,0,0,0,0,0,0,
7,3732452736,3,0,0,0,0,0,0,0,0,0,
8,3732452787,3,0,0,0,0,0,0,0,0,0,
9,3732452837,3,0,0,0,0,0,0,0,0,0,
10,3732452888,3,0,0,0,0,0,0,0,0,0,
11,3732452938,3,0,0,0,0,0,0,0,0,0,
12,3732452989,3,0,0,0,0,0,0,0,0,0,
13,3732453039,3,0,0,0,0,0,0,0,0,0,
14,3732453089,3,0,0,0,0,0,0,0,0,0,
15,3732453140,3,0,0,0,0,0,0,0,0,0,
16,3732453191,3,0,0,0,0,0,0,0,0,0,
17,3732453241,3,0,0,0,0,0,0,0,0,0,
18,3732453292,3,0,0,0,0,0,0,0,0,0,
19,3732453342,3,0,0,0,0,0,0,0,0,0,
20,3732453392,3,0,0,0,0,0,0,0,0,0,
21,3732453443,3,0,0,0,0,0,0,0,0,0,
22,3732453494,3,0,0,0,0,0,0,0,0,0,
23,3732453544,3,0,0,0,0,0,0,0,0,0,
24,3732453595,3,0,0,0,0,0,0,0,0,0,
25,3732453645,3,0,0,0,0,0,0,0,0,0,
26,3732453696,3,0,0,0,0,0,0,0,0,0,
27,3732453746,3,0,0,0,0,0,0,0,0,0,
28,3732453797,3,0,0,0,0,0,0,0,0,0,
29,3732453847,3,0,0,0,0,0,0,0,0,0,
30,3732453898,3,0,0,0,0,0,0,0,0,0,
31,3732453949,3,0,0,0,0,0,0,0,0,0,
32,3732453999,3,0,0,0,0,0,0,0,0,0,
33,3732454049,3,0,0,0,0,0,0,0,0,0,
34,3732454100,3,0,0,0,0,0,0,0,0,0,
35,3732454150,3,0,0,0,0,0,0,0,0,0,
36,3732454200,3,0,0,0,0,0,0,0,0,0,
37,3732454251,3,0,0,0,0,0,0,0,0,0,
38,3732454301,3,0,0,0,0,0,0,0,0,0,
39,3732454352,3,0,0,0,0,0,0,0,0,0,
40,3732454403,3,0,0,0,0,0,0,0,0,0,
41,3732454453,3,0,0,0,0,0,0,0,0,0,
42,3732454504,3,0,0,0,0,0,0,0,0,0,
43,3732454554,3,0,0,0,0,0,0,0,0,0,
44,3732454605,3,0,0,0,0,0,0,0,0,0,
45,3732454655,3,0,0,0,0,0,0,0,0,0,
46,3732454706,3,0,0,0,0,0,0,0,0,0,
47,3732454757,3,0,0,0,0,0,0,0,0,0,
48,3732454807,3,0,0,0,0,0,0,0,0,0,
49,3732454858,3,0,0,0,0,0,0,0,0,0,
50,3732454908,3,0,0,0,0,0,0,0,0,0,
51,3732454959,3,0,0,0,0,0,0,0,0,0,
52,3732455010,3,0,0,0,0,0,0,0,0,0,
