Iteration,GetTicks,thread_id,#Request,Processing Time,Total #Request,Total Request Processing Time,#Update,Update Time,Total #Update,Total Update Time,Player Number,
0,3732177724,2,0,0,0,0,0,0,0,0,0,
1,3732177774,2,0,0,0,0,0,0,0,0,0,
2,3732177824,2,0,0,0,0,0,0,0,0,0,
3,3732177875,2,0,0,0,0,0,0,0,0,0,
4,3732177926,2,0,0,0,0,0,0,0,0,0,
5,3732177976,2,0,0,0,0,0,0,0,0,0,
6,3732178027,2,0,0,0,0,0,0,0,0,0,
7,3732178077,2,0,0,0,0,0,0,0,0,0,
8,3732178128,2,0,0,0,0,0,0,0,0,0,
9,3732178179,2,0,0,0,0,0,0,0,0,0,
10,3732178229,2,0,0,0,0,0,0,0,0,0,
11,3732178280,2,0,0,0,0,0,0,0,0,0,
12,3732178330,2,0,0,0,0,0,0,0,0,0,
13,3732178381,2,0,0,0,0,0,0,0,0,0,
14,3732178431,2,0,0,0,0,0,0,0,0,0,
15,3732178482,2,0,0,0,0,0,0,0,0,0,
16,3732178533,2,0,0,0,0,0,0,0,0,0,
17,3732178583,2,0,0,0,0,0,0,0,0,0,
18,3732178634,2,0,0,0,0,0,0,0,0,0,
19,3732178684,2,0,0,0,0,0,0,0,0,0,
20,3732178735,2,0,0,0,0,0,0,0,0,0,
21,3732178785,2,0,0,0,0,0,0,0,0,0,
22,3732178836,2,0,0,0,0,0,0,0,0,0,
23,3732178886,2,0,0,0,0,0,0,0,0,0,
24,3732178937,2,0,0,0,0,0,0,0,0,0,
25,3732178988,2,0,0,0,0,0,0,0,0,0,
26,3732179038,2,0,0,0,0,0,0,0,0,0,
27,3732179088,2,0,0,0,0,0,0,0,0,0,
28,3732179139,2,0,0,0,0,0,0,0,0,0,
29,3732179189,2,0,0,0,0,0,0,0,0,0,
30,3732179240,2,0,0,0,0,0,0,0,0,0,
31,3732179290,2,0,0,0,0,0,0,0,0,0,
32,3732179341,2,0,0,0,0,0,0,0,0,0,
33,3732179391,2,0,0,0,0,0,0,0,0,0,
34,3732179442,2,0,0,0,0,0,0,0,0,0,
35,3732179492,2,0,0,0,0,0,0,0,0,0,
36,3732179543,2,0,0,0,0,0,0,0,0,0,
37,3732179593,2,0,0,0,0,0,0,0,0,0,
