Iteration,GetTicks,thread_id,#Request,Processing Time,Total #Request,Total Request Processing Time,#Update,Update Time,Total #Update,Total Update Time,Player Number,
0,3731835739,2,0,0,0,0,0,0,0,0,0,
1,3731835789,2,0,0,0,0,0,0,0,0,0,
2,3731835839,2,0,0,0,0,0,0,0,0,0,
3,3731835890,2,0,0,0,0,0,0,0,0,0,
4,3731835940,2,0,0,0,0,0,0,0,0,0,
5,3731835991,2,0,0,0,0,0,0,0,0,0,
6,3731836042,2,0,0,0,0,0,0,0,0,0,
7,3731836092,2,0,0,0,0,0,0,0,0,0,
8,3731836143,2,0,0,0,0,0,0,0,0,0,
9,3731836193,2,0,0,0,0,0,0,0,0,0,
10,3731836244,2,0,0,0,0,0,0,0,0,0,
11,3731836294,2,0,0,0,0,0,0,0,0,0,
12,3731836345,2,0,0,0,0,0,0,0,0,0,
13,3731836395,2,0,0,0,0,0,0,0,0,0,
14,3731836446,2,0,0,0,0,0,0,0,0,0,
15,3731836496,2,0,0,0,0,0,0,0,0,0,
16,3731836547,2,0,0,0,0,0,0,0,0,0,
17,3731836597,2,0,0,0,0,0,0,0,0,0,
18,3731836648,2,0,0,0,0,0,0,0,0,0,
19,3731836699,2,0,0,0,0,0,0,0,0,0,
20,3731836749,2,0,0,0,0,0,0,0,0,0,
21,3731836800,2,0,0,0,0,0,0,0,0,0,
22,3731836850,2,0,0,0,0,0,0,0,0,0,
23,3731836901,2,0,0,0,0,0,0,0,0,0,
24,3731836951,2,0,0,0,0,0,0,0,0,0,
25,3731837002,2,0,0,0,0,0,0,0,0,0,
26,3731837052,2,0,0,0,0,0,0,0,0,0,
27,3731837103,2,0,0,0,0,0,0,0,0,0,
28,3731837153,2,0,0,0,0,0,0,0,0,0,
29,3731837204,2,0,0,0,0,0,0,0,0,0,
30,3731837254,2,0,0,0,0,0,0,0,0,0,
31,3731837304,2,0,0,0,0,0,0,0,0,0,
32,3731837354,2,0,0,0,0,0,0,0,0,0,
33,3731837405,2,0,0,0,0,0,0,0,0,0,
34,3731837455,2,0,0,0,0,0,0,0,0,0,
35,3731837505,2,0,0,0,0,0,0,0,0,0,
36,3731837555,2,0,0,0,0,0,0,0,0,0,
37,3731837606,2,0,0,0,0,0,0,0,0,0,
38,3731837656,2,0,0,0,0,0,0,0,0,0,
39,3731837706,2,0,0,0,0,0,0,0,0,0,
40,3731837757,2,0,0,0,0,0,0,0,0,0,
41,3731837807,2,0,0,0,0,0,0,0,0,0,
42,3731837857,2,0,0,0,0,0,0,0,0,0,
43,3731837907,2,0,0,0,0,0,0,0,0,0,
44,3731837957,2,0,0,0,0,0,0,0,0,0,
45,3731838008,2,0,0,0,0,0,0,0,0,0,
46,3731838058,2,0,0,0,0,0,0,0,0,0,
47,3731838109,2,0,0,0,0,0,0,0,0,0,
48,3731838159,2,0,0,0,0,0,0,0,0,0,
49,3731838209,2,0,0,0,0,0,0,0,0,0,
50,3731838260,2,0,0,0,0,0,0,0,0,0,
51,3731838310,2,0,0,0,0,0,0,0,0,0,
52,3731838361,2,0,0,0,0,0,0,0,0,0,
