Iteration,GetTicks,thread_id,#Request,Processing Time,Total #Request,Total Request Processing Time,#Update,Update Time,Total #Update,Total Update Time,Player Number,
109,3732458276,0,39,0,2995,64,242,4,7932,175,242,
110,3732458331,0,120,2,3115,66,243,5,8175,180,243,
111,3732458387,0,52,0,3167,66,243,6,8418,186,243,
112,3732458442,0,32,0,3199,66,243,5,8661,191,243,
113,3732458497,0,61,0,3260,66,244,3,8905,194,244,
114,3732458552,0,111,0,3371,66,244,4,9149,198,244,
115,3732458607,0,36,0,3407,66,244,4,9393,202,244,
116,3732458664,0,43,1,3450,67,244,7,9637,209,244,
117,3732458718,0,77,0,3527,67,245,4,9882,213,245,
118,3732458774,0,79,1,3606,68,245,5,10127,218,245,
119,3732458829,0,42,0,3648,68,245,5,10372,223,245,
120,3732458884,0,47,0,3695,68,245,4,10617,227,245,
121,3732458940,0,133,2,3828,70,242,4,10859,231,242,
122,3732458995,0,29,0,3857,70,242,4,11101,235,242,
123,3732459050,0,37,0,3894,70,242,4,11343,239,242,
124,3732459105,0,63,0,3957,70,242,5,11585,244,242,
125,3732459160,0,102,0,4059,70,241,5,11826,249,241,
126,3732459216,0,39,0,4098,70,242,5,12068,254,242,
127,3732459271,0,38,0,4136,70,241,4,12309,258,241,
128,3732459326,0,100,0,4236,70,241,4,12550,262,241,
129,3732459381,0,63,0,4299,70,241,5,12791,267,241,
130,3732459436,0,35,0,4334,70,241,4,13032,271,241,
131,3732459491,0,60,0,4394,70,242,5,13274,276,242,
132,3732459547,0,111,0,4505,70,242,4,13516,280,242,
133,3732459602,0,32,0,4537,70,242,4,13758,284,242,
134,3732459657,0,43,0,4580,70,241,5,13999,289,241,
135,3732459712,0,59,0,4639,70,240,5,14239,294,240,
136,3732459767,0,92,0,4731,70,240,4,14479,298,240,
137,3732459823,0,37,0,4768,70,240,6,14719,304,240,
138,3732459879,0,39,1,4807,71,240,4,14959,308,240,
139,3732459934,0,127,1,4934,72,240,5,15199,313,240,
140,3732459990,0,44,0,4978,72,240,6,15439,319,240,
141,3732460045,0,35,0,5013,72,240,4,15679,323,240,
142,3732460100,0,59,0,5072,72,240,4,15919,327,240,
143,3732460157,0,102,0,5174,72,240,4,16159,331,240,
144,3732460213,0,39,1,5213,73,240,4,16399,335,240,
145,3732460268,0,35,0,5248,73,239,5,16638,340,239,
146,3732460323,0,90,0,5338,73,239,4,16877,344,239,
147,3732460378,0,68,0,5406,73,239,5,17116,349,239,
148,3732460433,0,32,0,5438,73,239,4,17355,353,239,
149,3732460488,0,53,0,5491,73,237,4,17592,357,237,
150,3732460546,0,116,0,5607,73,236,5,17828,362,236,
151,3732460602,0,34,0,5641,73,236,4,18064,366,236,
152,3732460657,0,39,0,5680,73,236,4,18300,370,236,
153,3732460712,0,55,0,5735,73,235,5,18535,375,235,
154,3732460769,0,90,1,5825,74,235,4,18770,379,235,
155,3732460824,0,39,0,5864,74,235,5,19005,384,235,
156,3732460879,0,37,0,5901,74,235,4,19240,388,235,
157,3732460934,0,116,1,6017,75,234,4,19474,392,234,
158,3732460990,0,41,1,6058,76,234,4,19708,396,234,
159,3732461046,0,31,1,6089,77,234,5,19942,401,234,
160,3732461101,0,57,1,6146,78,234,4,20176,405,234,
161,3732461157,0,98,0,6244,78,234,4,20410,409,234,
162,3732461211,0,33,0,6277,78,234,4,20644,413,234,
163,3732461266,0,35,0,6312,78,234,4,20878,417,234,
164,3732461322,0,81,0,6393,78,234,5,21112,422,234,
165,3732461377,0,63,1,6456,79,233,4,21345,426,233,
166,3732461432,0,32,1,6488,80,234,5,21579,431,234,
167,3732461489,0,48,0,6536,80,234,4,21813,435,234,
