Iteration,GetTicks,thread_id,#Request,Processing Time,Total #Request,Total Request Processing Time,#Update,Update Time,Total #Update,Total Update Time,Player Number,
0,3732177724,0,0,0,0,0,0,0,0,0,0,
1,3732177774,0,0,0,0,0,0,0,0,0,0,
2,3732177824,0,0,0,0,0,0,0,0,0,0,
3,3732177875,0,0,0,0,0,0,0,0,0,0,
4,3732177926,0,0,0,0,0,0,0,0,0,0,
5,3732177976,0,0,0,0,0,0,0,0,0,0,
6,3732178027,0,0,0,0,0,0,0,0,0,0,
7,3732178077,0,0,0,0,0,0,0,0,0,0,
8,3732178128,0,0,0,0,0,0,0,0,0,0,
9,3732178179,0,0,0,0,0,0,0,0,0,0,
10,3732178229,0,0,0,0,0,0,0,0,0,0,
11,3732178280,0,0,0,0,0,0,0,0,0,0,
12,3732178330,0,0,0,0,0,0,0,0,0,0,
13,3732178381,0,0,0,0,0,0,0,0,0,0,
14,3732178431,0,0,0,0,0,0,0,0,0,0,
15,3732178482,0,0,0,0,0,0,0,0,0,0,
16,3732178533,0,0,0,0,0,0,0,0,0,0,
17,3732178583,0,0,0,0,0,0,0,0,0,0,
18,3732178634,0,0,0,0,0,0,0,0,0,0,
19,3732178684,0,0,0,0,0,0,0,0,0,0,
20,3732178735,0,0,0,0,0,0,0,0,0,0,
21,3732178785,0,0,0,0,0,0,0,0,0,0,
22,3732178836,0,0,0,0,0,0,0,0,0,0,
23,3732178886,0,0,0,0,0,0,0,0,0,0,
24,3732178937,0,0,0,0,0,0,0,0,0,0,
25,3732178988,0,0,0,0,0,0,0,0,0,0,
26,3732179038,0,0,0,0,0,0,0,0,0,0,
27,3732179088,0,0,0,0,0,0,0,0,0,0,
28,3732179139,0,0,0,0,0,0,0,0,0,0,
29,3732179189,0,0,0,0,0,0,0,0,0,0,
30,3732179240,0,0,0,0,0,0,0,0,0,0,
31,3732179290,0,0,0,0,0,0,0,0,0,0,
32,3732179341,0,0,0,0,0,0,0,0,0,0,
33,3732179391,0,0,0,0,0,0,0,0,0,0,
34,3732179442,0,0,0,0,0,0,0,0,0,0,
35,3732179492,0,0,0,0,0,0,0,0,0,0,
36,3732179543,0,0,0,0,0,0,0,0,0,0,
37,3732179593,0,0,0,0,0,0,0,0,0,0,
38,3732179644,0,0,0,0,0,0,0,0,0,0,
39,3732179694,0,0,0,0,0,0,0,0,0,0,
40,3732179744,0,0,0,0,0,0,0,0,0,0,
41,3732179795,0,0,0,0,0,0,0,0,0,0,
42,3732179845,0,0,0,0,0,0,0,0,0,0,
43,3732179896,0,0,0,0,0,0,0,0,0,0,
44,3732179946,0,0,0,0,0,0,0,0,0,0,
45,3732179997,0,0,0,0,0,0,0,0,0,0,
46,3732180047,0,0,0,0,0,0,0,0,0,0,
47,3732180098,0,0,0,0,0,0,0,0,0,0,
48,3732180148,0,0,0,0,0,0,0,0,0,0,
49,3732180199,0,0,0,0,0,0,0,0,0,0,
50,3732180249,0,0,0,0,0,0,0,0,0,0,
51,3732180300,0,0,0,0,0,0,0,0,0,0,
52,3732180350,0,0,0,0,0,0,0,0,0,0,
53,3732180401,0,0,0,0,0,0,0,0,0,0,
54,3732180451,0,0,0,0,0,0,0,0,0,0,
55,3732180502,0,0,0,0,0,0,0,0,0,0,
56,3732180552,0,0,0,0,0,0,0,0,0,0,
57,3732180602,0,0,0,0,0,0,0,0,0,0,
58,3732180653,0,0,0,0,0,0,0,0,0,0,
59,3732180703,0,0,0,0,0,0,0,0,0,0,
60,3732180754,0,0,0,0,0,0,0,0,0,0,
61,3732180804,0,0,0,0,0,0,0,0,0,0,
62,3732180855,0,0,0,0,0,0,0,0,0,0,
63,3732180905,0,0,0,0,0,0,0,0,0,0,
64,3732180956,0,0,0,0,0,0,0,0,0,0,
65,3732181006,0,0,0,0,0,0,0,0,0,0,
66,3732181057,0,0,0,0,0,0,0,0,0,0,
