Iteration,GetTicks,thread_id,#Request,Processing Time,Total #Request,Total Request Processing Time,#Update,Update Time,Total #Update,Total Update Time,Player Number,
0,3732177724,1,0,0,0,0,0,0,0,0,0,
1,3732177774,1,0,0,0,0,0,0,0,0,0,
2,3732177824,1,0,0,0,0,0,0,0,0,0,
3,3732177875,1,0,0,0,0,0,0,0,0,0,
4,3732177926,1,0,0,0,0,0,0,0,0,0,
5,3732177976,1,0,0,0,0,0,0,0,0,0,
6,3732178027,1,0,0,0,0,0,0,0,0,0,
7,3732178077,1,0,0,0,0,0,0,0,0,0,
8,3732178128,1,0,0,0,0,0,0,0,0,0,
9,3732178179,1,0,0,0,0,0,0,0,0,0,
10,3732178229,1,0,0,0,0,0,0,0,0,0,
11,3732178280,1,0,0,0,0,0,0,0,0,0,
12,3732178330,1,0,0,0,0,0,0,0,0,0,
13,3732178381,1,0,0,0,0,0,0,0,0,0,
14,3732178431,1,0,0,0,0,0,0,0,0,0,
15,3732178482,1,0,0,0,0,0,0,0,0,0,
16,3732178533,1,0,0,0,0,0,0,0,0,0,
17,3732178583,1,0,0,0,0,0,0,0,0,0,
18,3732178634,1,0,0,0,0,0,0,0,0,0,
19,3732178684,1,0,0,0,0,0,0,0,0,0,
20,3732178735,1,0,0,0,0,0,0,0,0,0,
21,3732178785,1,0,0,0,0,0,0,0,0,0,
22,3732178836,1,0,0,0,0,0,0,0,0,0,
23,3732178886,1,0,0,0,0,0,0,0,0,0,
24,3732178937,1,0,0,0,0,0,0,0,0,0,
25,3732178988,1,0,0,0,0,0,0,0,0,0,
26,3732179038,1,0,0,0,0,0,0,0,0,0,
27,3732179088,1,0,0,0,0,0,0,0,0,0,
28,3732179139,1,0,0,0,0,0,0,0,0,0,
29,3732179189,1,0,0,0,0,0,0,0,0,0,
30,3732179240,1,0,0,0,0,0,0,0,0,0,
31,3732179290,1,0,0,0,0,0,0,0,0,0,
32,3732179341,1,0,0,0,0,0,0,0,0,0,
33,3732179391,1,0,0,0,0,0,0,0,0,0,
34,3732179442,1,0,0,0,0,0,0,0,0,0,
35,3732179492,1,0,0,0,0,0,0,0,0,0,
36,3732179543,1,0,0,0,0,0,0,0,0,0,
37,3732179593,1,0,0,0,0,0,0,0,0,0,
38,3732179644,1,0,0,0,0,0,0,0,0,0,
39,3732179694,1,0,0,0,0,0,0,0,0,0,
40,3732179744,1,0,0,0,0,0,0,0,0,0,
41,3732179795,1,0,0,0,0,0,0,0,0,0,
42,3732179845,1,0,0,0,0,0,0,0,0,0,
43,3732179896,1,0,0,0,0,0,0,0,0,0,
