Iteration,GetTicks,thread_id,#Request,Processing Time,Total #Request,Total Request Processing Time,#Update,Update Time,Total #Update,Total Update Time,Player Number,
0,3732452383,1,0,0,0,0,0,0,0,0,0,
1,3732452433,1,0,0,0,0,0,0,0,0,0,
2,3732452483,1,0,0,0,0,0,0,0,0,0,
3,3732452534,1,0,0,0,0,0,0,0,0,0,
4,3732452584,1,0,0,0,0,0,0,0,0,0,
5,3732452635,1,0,0,0,0,0,0,0,0,0,
6,3732452685,1,0,0,0,0,0,0,0,0,0,
7,3732452736,1,0,0,0,0,0,0,0,0,0,
8,3732452787,1,0,0,0,0,0,0,0,0,0,
9,3732452837,1,0,0,0,0,0,0,0,0,0,
10,3732452888,1,0,0,0,0,0,0,0,0,0,
11,3732452938,1,0,0,0,0,0,0,0,0,0,
12,3732452989,1,0,0,0,0,0,0,0,0,0,
13,3732453039,1,0,0,0,0,0,0,0,0,0,
14,3732453089,1,0,0,0,0,0,0,0,0,0,
15,3732453140,1,0,0,0,0,0,0,0,0,0,
16,3732453191,1,0,0,0,0,0,0,0,0,0,
17,3732453241,1,0,0,0,0,0,0,0,0,0,
18,3732453292,1,0,0,0,0,0,0,0,0,0,
19,3732453342,1,0,0,0,0,0,0,0,0,0,
20,3732453392,1,0,0,0,0,0,0,0,0,0,
21,3732453443,1,0,0,0,0,0,0,0,0,0,
22,3732453494,1,0,0,0,0,0,0,0,0,0,
23,3732453544,1,0,0,0,0,0,0,0,0,0,
24,3732453595,1,0,0,0,0,0,0,0,0,0,
25,3732453645,1,0,0,0,0,0,0,0,0,0,
26,3732453696,1,0,0,0,0,0,0,0,0,0,
27,3732453746,1,0,0,0,0,0,0,0,0,0,
28,3732453797,1,0,0,0,0,0,0,0,0,0,
29,3732453847,1,0,0,0,0,0,0,0,0,0,
30,3732453898,1,0,0,0,0,0,0,0,0,0,
31,3732453948,1,0,0,0,0,0,0,0,0,0,
32,3732453999,1,0,0,0,0,0,0,0,0,0,
33,3732454049,1,0,0,0,0,0,0,0,0,0,
34,3732454100,1,0,0,0,0,0,0,0,0,0,
35,3732454150,1,0,0,0,0,0,0,0,0,0,
