Iteration,GetTicks,thread_id,#Request,Processing Time,Total #Request,Total Request Processing Time,#Update,Update Time,Total #Update,Total Update Time,Player Number,
0,3731835739,0,0,0,0,0,0,0,0,0,0,
1,3731835789,0,0,0,0,0,0,0,0,0,0,
2,3731835839,0,0,0,0,0,0,0,0,0,0,
3,3731835890,0,0,0,0,0,0,0,0,0,0,
4,3731835940,0,0,0,0,0,0,0,0,0,0,
5,3731835991,0,0,0,0,0,0,0,0,0,0,
6,3731836042,0,0,0,0,0,0,0,0,0,0,
7,3731836092,0,0,0,0,0,0,0,0,0,0,
8,3731836143,0,0,0,0,0,0,0,0,0,0,
9,3731836193,0,0,0,0,0,0,0,0,0,0,
10,3731836244,0,0,0,0,0,0,0,0,0,0,
11,3731836294,0,0,0,0,0,0,0,0,0,0,
12,3731836345,0,0,0,0,0,0,0,0,0,0,
13,3731836395,0,0,0,0,0,0,0,0,0,0,
14,3731836446,0,0,0,0,0,0,0,0,0,0,
15,3731836496,0,0,0,0,0,0,0,0,0,0,
16,3731836547,0,0,0,0,0,0,0,0,0,0,
17,3731836597,0,0,0,0,0,0,0,0,0,0,
18,3731836648,0,0,0,0,0,0,0,0,0,0,
19,3731836699,0,0,0,0,0,0,0,0,0,0,
20,3731836749,0,0,0,0,0,0,0,0,0,0,
21,3731836800,0,0,0,0,0,0,0,0,0,0,
22,3731836850,0,0,0,0,0,0,0,0,0,0,
23,3731836901,0,0,0,0,0,0,0,0,0,0,
24,3731836951,0,0,0,0,0,0,0,0,0,0,
25,3731837002,0,0,0,0,0,0,0,0,0,0,
26,3731837052,0,0,0,0,0,0,0,0,0,0,
27,3731837103,0,0,0,0,0,0,0,0,0,0,
28,3731837153,0,0,0,0,0,0,0,0,0,0,
29,3731837204,0,0,0,0,0,0,0,0,0,0,
30,3731837254,0,0,0,0,0,0,0,0,0,0,
31,3731837304,0,0,0,0,0,0,0,0,0,0,
32,3731837354,0,0,0,0,0,0,0,0,0,0,
33,3731837405,0,0,0,0,0,0,0,0,0,0,
34,3731837455,0,0,0,0,0,0,0,0,0,0,
35,3731837505,0,0,0,0,0,0,0,0,0,0,
36,3731837555,0,0,0,0,0,0,0,0,0,0,
37,3731837606,0,0,0,0,0,0,0,0,0,0,
38,3731837656,0,0,0,0,0,0,0,0,0,0,
39,3731837706,0,0,0,0,0,0,0,0,0,0,
40,3731837757,0,0,0,0,0,0,0,0,0,0,
41,3731837807,0,0,0,0,0,0,0,0,0,0,
42,3731837857,0,0,0,0,0,0,0,0,0,0,
43,3731837907,0,0,0,0,0,0,0,0,0,0,
44,3731837957,0,0,0,0,0,0,0,0,0,0,
45,3731838008,0,0,0,0,0,0,0,0,0,0,
46,3731838058,0,0,0,0,0,0,0,0,0,0,
47,3731838109,0,0,0,0,0,0,0,0,0,0,
48,3731838159,0,0,0,0,0,0,0,0,0,0,
49,3731838209,0,0,0,0,0,0,0,0,0,0,
50,3731838260,0,0,0,0,0,0,0,0,0,0,
51,3731838310,0,0,0,0,0,0,0,0,0,0,
52,3731838361,0,0,0,0,0,0,0,0,0,0,
53,3731838411,0,0,0,0,0,0,0,0,0,0,
54,3731838463,0,0,0,0,0,0,0,0,0,0,
55,3731838513,0,0,0,0,0,0,0,0,0,0,
56,3731838563,0,0,0,0,0,0,0,0,0,0,
57,3731838616,0,0,0,0,0,0,0,0,0,0,
58,3731838667,0,120,2,120,2,33,1,33,1,33,
59,3731838744,0,55,1,175,3,46,1,79,2,46,
60,3731838804,0,274,12,449,15,125,2,204,4,125,
