Iteration,GetTicks,thread_id,#Request,Processing Time,Total #Request,Total Request Processing Time,#Update,Update Time,Total #Update,Total Update Time,Player Number,
0,3731835739,1,0,0,0,0,0,0,0,0,0,
1,3731835789,1,0,0,0,0,0,0,0,0,0,
2,3731835839,1,0,0,0,0,0,0,0,0,0,
3,3731835890,1,0,0,0,0,0,0,0,0,0,
4,3731835941,1,0,0,0,0,0,0,0,0,0,
5,3731835991,1,0,0,0,0,0,0,0,0,0,
6,3731836042,1,0,0,0,0,0,0,0,0,0,
7,3731836092,1,0,0,0,0,0,0,0,0,0,
8,3731836143,1,0,0,0,0,0,0,0,0,0,
9,3731836193,1,0,0,0,0,0,0,0,0,0,
10,3731836244,1,0,0,0,0,0,0,0,0,0,
11,3731836294,1,0,0,0,0,0,0,0,0,0,
12,3731836345,1,0,0,0,0,0,0,0,0,0,
13,3731836395,1,0,0,0,0,0,0,0,0,0,
14,3731836446,1,0,0,0,0,0,0,0,0,0,
15,3731836496,1,0,0,0,0,0,0,0,0,0,
16,3731836547,1,0,0,0,0,0,0,0,0,0,
17,3731836598,1,0,0,0,0,0,0,0,0,0,
18,3731836648,1,0,0,0,0,0,0,0,0,0,
19,3731836699,1,0,0,0,0,0,0,0,0,0,
20,3731836749,1,0,0,0,0,0,0,0,0,0,
21,3731836800,1,0,0,0,0,0,0,0,0,0,
22,3731836850,1,0,0,0,0,0,0,0,0,0,
23,3731836901,1,0,0,0,0,0,0,0,0,0,
24,3731836951,1,0,0,0,0,0,0,0,0,0,
25,3731837002,1,0,0,0,0,0,0,0,0,0,
26,3731837052,1,0,0,0,0,0,0,0,0,0,
27,3731837103,1,0,0,0,0,0,0,0,0,0,
28,3731837153,1,0,0,0,0,0,0,0,0,0,
29,3731837204,1,0,0,0,0,0,0,0,0,0,
30,3731837254,1,0,0,0,0,0,0,0,0,0,
31,3731837304,1,0,0,0,0,0,0,0,0,0,
32,3731837354,1,0,0,0,0,0,0,0,0,0,
33,3731837405,1,0,0,0,0,0,0,0,0,0,
34,3731837455,1,0,0,0,0,0,0,0,0,0,
35,3731837505,1,0,0,0,0,0,0,0,0,0,
36,3731837555,1,0,0,0,0,0,0,0,0,0,
37,3731837606,1,0,0,0,0,0,0,0,0,0,
38,3731837656,1,0,0,0,0,0,0,0,0,0,
39,3731837706,1,0,0,0,0,0,0,0,0,0,
40,3731837757,1,0,0,0,0,0,0,0,0,0,
41,3731837807,1,0,0,0,0,0,0,0,0,0,
42,3731837857,1,0,0,0,0,0,0,0,0,0,
43,3731837907,1,0,0,0,0,0,0,0,0,0,
44,3731837957,1,0,0,0,0,0,0,0,0,0,
45,3731838008,1,0,0,0,0,0,0,0,0,0,
46,3731838058,1,0,0,0,0,0,0,0,0,0,
47,3731838109,1,0,0,0,0,0,0,0,0,0,
48,3731838159,1,0,0,0,0,0,0,0,0,0,
49,3731838209,1,0,0,0,0,0,0,0,0,0,
50,3731838260,1,0,0,0,0,0,0,0,0,0,
51,3731838310,1,0,0,0,0,0,0,0,0,0,
52,3731838361,1,0,0,0,0,0,0,0,0,0,
53,3731838411,1,0,0,0,0,0,0,0,0,0,
54,3731838463,1,0,0,0,0,0,0,0,0,0,
55,3731838513,1,0,0,0,0,0,0,0,0,0,
56,3731838563,1,0,0,0,0,0,0,0,0,0,
